"num","ema_5","ema_20","ema_60","roc_5","roc_20","roc_60","force_5","force_20","force_60","mfm","acdl","target","Output:target(t+1)","Output:target(t+2)","Output:target(t+3)"
511,705.605,691.242,687.810,3.430,7.867,-1.008,23329897.269,8575666.957,-2088214.461,-0.022,35565397.988,721.070,633.9685875206,628.345128359,634.92100516
512,710.760,694.083,688.900,3.370,7.627,-1.760,15843761.519,7841935.820,-1991174.970,-0.143,35135481.449,720.110,632.4751610918,627.1681187069,636.6635633547
513,713.877,696.562,689.923,2.478,8.146,-3.906,9948172.000,6919560.310,-1986317.005,0.085,35299514.907,722.360,636.6490519013,627.6680352504,634.4552490083
514,716.705,699.019,690.987,2.906,8.143,-3.577,7874979.416,6615658.780,-1798942.866,0.404,35968417.811,715.630,641.7496534988,632.1732021815,633.5383045361
515,716.346,700.601,691.795,-0.715,8.240,-5.021,-2664154.979,3724412.823,-2518401.256,0.231,36784498.544,709.500,639.7976052315,631.2279559644,634.1910360964
516,714.064,701.448,692.375,-1.605,5.783,-6.213,-3496448.996,2878179.504,-2605045.052,-0.473,36385919.017,708.870,641.5338047646,629.7848302963,632.1880071178
517,712.333,702.155,692.916,-1.561,3.686,-6.048,-2579306.117,2533112.850,-2544060.636,0.234,36662643.124,706.290,644.4777966117,631.1791541983,629.570420587
518,710.319,702.549,693.355,-2.225,2.081,-7.284,-3136294.532,1887076.259,-2600001.971,0.501,37488754.655,700.010,640.0743592588,628.377852174,631.7782336337
519,706.882,702.307,693.573,-2.183,0.235,-7.527,-5029748.114,867673.255,-2803826.670,-1.000,36084828.655,707.380,630.2660229814,624.4640539069,637.118020188
520,707.048,702.790,694.026,-0.299,1.745,-7.229,1554598.660,2187256.013,-2229167.034,0.562,37207782.208,723.250,634.4418265437,626.2294107639,631.8076113105
521,712.449,704.739,694.984,2.029,4.663,-5.833,14484996.827,5821402.408,-833266.700,0.282,37925455.950,723.670,634.077221055,625.1174677773,629.6380269283
522,716.189,706.542,695.924,2.461,5.212,-5.729,9981204.151,5359708.731,-774024.552,-0.474,36827389.634,737.970,619.3197735585,620.210366653,640.8033578262
523,723.449,709.535,697.303,5.423,6.777,-2.622,19827067.301,8612954.909,547051.453,0.492,38188123.360,734.750,636.7444962835,626.505712933,629.9679127491
524,727.216,711.936,698.531,3.869,7.387,-1.255,11440640.287,7284843.609,354288.659,-0.052,38101561.448,733.300,640.4954523677,628.7259724223,631.5727446676
525,729.244,713.971,699.671,1.390,6.985,-1.512,6816669.191,6359499.170,262958.769,0.495,38930749.637,738.120,635.2392858316,627.7470683824,638.1222232031
526,732.203,716.271,700.931,1.997,5.918,-1.778,7799152.734,6683748.756,574472.246,0.953,40860926.744,741.480,649.4347022131,635.3803061521,630.6252834006
527,735.295,718.672,702.261,0.476,6.296,-0.439,7255508.756,6634650.855,757873.838,0.388,41572890.118,739.990,644.4598339352,635.589347555,636.1454895729
528,736.860,720.702,703.498,0.713,5.307,-0.134,4198727.087,5820413.988,670243.999,0.204,41834946.602,723.250,648.4170544935,636.9362199249,633.8062010816
529,732.323,720.945,704.145,-1.371,3.033,-2.880,-13182560.088,699885.566,-923702.835,-0.909,39230558.023,724.930,652.292607473,638.5239160229,631.1808573882
530,729.859,721.324,704.827,-1.787,0.576,-4.045,-6588698.992,1261708.198,-677056.080,0.121,39703975.158,715.190,647.9624246255,638.86018762,636.8270527574
531,724.969,720.740,705.167,-3.546,-0.815,2.905,-10966936.775,-736874.710,-1301526.777,-0.715,38255926.299,711.320,644.2343315148,638.0419482895,637.3422452027
532,720.420,719.843,705.368,-3.874,-1.221,4.331,-10165231.713,-1482107.747,-1539569.230,-0.930,36197561.665,704.510,628.0849510058,630.5718799878,645.5124722383
533,715.116,718.383,705.340,-2.591,-2.471,3.807,-14101879.602,-3433828.474,-2209589.104,-0.444,34764638.428,702.870,634.4742488161,631.2351783696,636.4837954381
534,711.034,716.905,705.259,-3.043,-1.783,3.310,-11474396.748,-3699123.956,-2341059.331,0.497,36649220.880,741.500,626.2623931396,636.0871726783,646.0439104254
535,721.189,719.248,706.447,3.679,4.510,9.479,68475517.151,18403206.416,5223412.941,-0.136,35848143.033,753.830,623.6166589041,636.2498778648,647.0998829833
536,732.070,722.541,708.001,5.976,6.342,11.224,59556924.328,20623828.536,6420013.784,0.632,37987769.916,753.670,625.896144238,636.1396064695,641.7584886532
537,739.270,725.506,709.498,6.978,6.708,11.630,39585906.298,18625737.270,6197845.144,-0.169,37611843.149,750.730,637.1100409202,640.0514214258,638.2749435221
538,743.090,727.908,710.850,6.809,7.246,10.353,24795327.859,16396064.290,5837724.679,-0.263,37183243.799,753.680,652.4612351222,650.3145726659,643.0792174035
539,746.620,730.363,712.254,1.643,6.545,9.612,18248823.673,15325564.386,5815366.995,0.372,37832977.764,753.830,662.9385500732,655.6027062609,637.3784954647
540,749.023,732.598,713.618,0.000,4.228,9.581,12252531.048,13890743.568,5633222.037,-0.771,36496606.322,755.690,655.2599636852,655.1710578365,643.3348036559
541,751.246,734.797,714.997,0.268,4.425,10.649,9181778.752,12857365.530,5548207.353,0.476,37275071.933,775.600,653.694805605,653.9377057447,643.9103806862
542,759.364,738.683,716.984,3.313,5.099,13.771,30983234.218,18736296.922,7811746.297,0.892,40616246.123,759.020,656.6464079852,654.2442868597,641.8668672083
